OBJECTID,PIC,Facility_Name,Facility_Address,City,STATE,ZIP_Code,Operational_Designation,Source,Full_Address,Confidence,Low_Income,longitude,latitude
4199,8839,BAKERSFIELD (LOC. NO. 688),3800 ROSEDALE HWY,BAKERSFIELD,CALIFORNIA,93308,Hypermart,ARB,,,,-119.04920983616485,35.383350317163575
4200,429,ALFMABROOK INC,5201 OLIVE DR,BAKERSFIELD,CALIFORNIA,93308,Service Station or Gas Station,ARB,,,,-119.05807854548831,35.41219642792302
4201,426,Brookside Riverlakes,4700 COFFEE RD,BAKERSFIELD,CALIFORNIA,93308,Service Station or Gas Station,ARB,,,,-119.09210637720746,35.402416004794915
4202,430,7-ELEVEN INC #32257,5203 OLIVE DR,BAKERSFIELD,CALIFORNIA,93308,Service Station or Gas Station,ARB,,,,-119.05809285640004,35.41219642792302
4203,413,JOHNNY'S FOODMART,2612 BUCK OWENS BLVD,BAKERSFIELD,CALIFORNIA,93308,Service Station or Gas Station,ARB,,,,-119.04309272225117,35.38377093727915
4204,434,ROSEDALE PLAZA GROUP,7851 ROSEDALE HWY,BAKERSFIELD,CALIFORNIA,93308,Service Station or Gas Station,ARB,,,,-119.08915080386636,35.38323889835671
4205,431,OLIVE DRIVE SHELL,5300 OLIVE DR,BAKERSFIELD,CALIFORNIA,93308,Service Station or Gas Station,ARB,,,,-119.05893158032802,35.41245270053186
4206,414,7-ELEVEN INC #18655,300 N CHESTER AVE,BAKERSFIELD,CALIFORNIA,93308,Service Station or Gas Station,ARB,,,YES,-119.020871854952,35.40863652815344
4207,432,FASTRIP FOOD STORES # 774,630 AIRPORT DR,BAKERSFIELD,CALIFORNIA,93308,Service Station or Gas Station,ARB,,,YES,-119.0388521723897,35.4118942305345
4208,420,ROSEDALE SHELL,3605 ROSEDALE HWY,BAKERSFIELD,CALIFORNIA,93308,Service Station or Gas Station,ARB,,,,-119.0479167432629,35.38309265330355
4209,10305,HOWARD'S MINI MART,4201 BELLE TERRACE,BAKERSFIELD,CALIFORNIA,93309,Service Station or Gas Station,ARB,,,YES,-119.04897663836098,35.346754627824005
4210,408,AIRPORT SHELL,1508 AIRPORT DR,BAKERSFIELD,CALIFORNIA,93308,Service Station or Gas Station,ARB,,,,-119.0389538092707,35.419691539732916
